id;from1;comment1;date1;testcountry
722;Tinne D;Very Nice! The guide Really knew a lot. You felt like she wanted to show you how Nice Sofia Really are. Good amounth of attractions!;16.07.2015;
723;Joseph B;This tour makes for a perfect introduction to Sofia, especially if, like me, you know relatively little about Sofia and don't have much time to explore it. Our tour guide, Nikola, was extremely knowledgeable, entertaining and good-natured. He really succeeded in making the history of the city accessible, and made me want to return again. Good job!;16.07.2015;
724;Seamus2308;"A great way to get to know the city. Sofia is full of hidden gems but on first appearances can seem intimidating for those not used to the Balkans. The walking tour not only shows you around many beautiful places but also shows you how friendly and beautiful the varied sites of the centre are.
Considering it is free and only ask a tip it is worth all the money you pay :D";17.07.2015;Bulgaria
725;Žiga T;Was recommended to us by our hotel so we gave it a try. It was fun, interesting and informative. Would recommend it to anyone who wants to get to know Sofia a bit better.;17.07.2015;
726;Sybilcrookes;Enthusiastic young people with excellent English lead you round 35 buildings and venues - no time to go inside but you learn enough to know what to go back to at leisure. An ideal introduction to Sofia, which by the way is a very safe city. The silly reviews we had read about packs of marauding dogs and many beggars are just not true. We saw about four beggars and no dogs in our five day stay. A very friendly city;18.07.2015;UK
727;Hannah D;If you have time make sure you do this tour and visit the Vitisha Mountain the views are amazing. Tourist info in the central station is really worth a visit and shop at Billa Supermarkets or Lidl they are great. The tour was fab and gave you lots of history and culture of the city. the guides are great and have a wide knowledge bank they also gave us great recommendations :);19.07.2015;China
728;mjo101;Before taking this tour I spent a whole day alone in the city, and although I saw some of the prominent touristic spots, I felt like I wanted to learn more about the city's history. 10 coins hostel informed me about Free Sofia Tour so I decided to attend the 6 p.m. one. Kristina was my tour guide and from the beginning she made us feel comfortable with each other. Her enthusiasm was contagious and her overall positive attitude made my first free tour ever a wonderful experience. If you plan on taking this tour, aim for the 6 p.m. one because it's not that hot outside and the streets are pretty empty. I met some awesome people in my tour and learned very interesting and funny stories about the city. Thank you Kristina and Free Sofia Tour for the awesome service!;19.07.2015;USA
729;Starviagera;"I was amazed as how few people gave a tip, even after I very openly gave mine because not one person on the morning 365 culture tour gave the guide a tip. It is free! The least you can do is give a tip. 
It is a nice overview of the city and will help decide how to spend the rest of our time.";19.07.2015;USA
730;Teya I;"Took this tour with Niki and highly recommend it to anybody visiting Sofia. I suggest you take it early in your visit because the guides provide a wealth of information. Even though the tour is free, don't be a cheapskate. Leave a tip for the guide. They work hard and are just as knowledgeable as ""official"" guides.";20.07.2015;Bulgaria
731;Brad B;Nikki was excellent, really informative and even helped me out with further travel plans. Great couple of hours;19.07.2015;Bulgaria
732;Ebba L;It was a very nice tour, you learn about important landmarks in Sofia and our guide Niki was fun and competent. It is absolutly worth taking this tour to get to know the city.;21.07.2015;
733;fatma k;We had a wonderful two hours Sofia experience on 21 December 2014. Our guide Anna was amazing. She was very informative, knowledgable , creative and funny. I certainly recommend Free Sofia Tour everyone who would like to have a lot of information and interesting stories about Sofia from expert and lovely guides in a short time . We were lucky to have this tour. Thank you!:);21.07.2015;Turkey
734;Adriana W;A lovely experience! Very interesting and wonderful to learn new things about the city. Considering it is even free of charge, what else could anyone want? Definitely recommend it to anyone going to Sofia!!!;23.07.2015;UK
735;Sara J;"Sofia Tour is brilliant! Is took about 2,5 hour, but we finished I was surprised that this is the end. Ani was our guide and I will definitely recommend this person! She is a full of energy and told us definitely everything which we have to know being in Sofia.
Within trip we are not get in to any of buildings, so after tour you can choose which buildings are worth to come in.

If you are in Sofia and you have a few hours, Free Sofia tour is the best way to spend your time!";23.07.2015;Poland
736;Michelle_Ni_Riain;"We were in Sofia for a short visit and really wanted to learn a little about the city. I normally love museums but the weather was glorious outside, and I didn't have the time to read a book. The Free Sofia Tour was the perfect solution; casual but full of interesting information, outdoors but capturing the most significant buildings; not too long but full of anecdotal detail and colourful stories. An extraordinary number of people turned up for the tour, but the guides handled the situation well, splitting up the group and calling in an extra guide at short notice. Our guide was the lovely Kristina, whose in-depth knowledge of her city was surpassed by her charm and willingness to share personal stories with us. The tour covered a small area, distance wise, but years and years of history. Afterwards, we had a sense of understanding the city far better and were able to give a mini tour to our friends as we walked back from dinner that evening. My only regret is that we did the tour on the last night of our trip - had we done it on the first day, our wonderful stay in Sofia would have been all the richer. Thanks for a great tour.";24.07.2015;Ireland
737;northernlighter;This is a must for any visit to Sofia! I can vividly remember the moment when the tour took us to a downtown street corner where 2000 years of history together with many different religions converge among the hustle and bustle of city traffic. It was amazing!;24.07.2015;USA
738;ZoriZaf;We really enjoyed the 2.5 hours tour with Alex, our guide. Even though I had lived in Sofia for a few years, I learnt a lot and appreciated the beautiful architecture witness of more than 2000 years of history.;25.07.2015;Singapore
739;Aleksandra Koziara;Thank you for an excellent tour last Thursday. Filip was a great guide and I had a lot of fun. Highly recommended!;13.06.2015;
740;Sandy L-y;Totally worth it. Learnt the history, saw the landmarks and its free! Great guide.too!;18.06.2015;UK
741;Yordanka Vodenicharska;I enjoyed the Free Sofia Tour last Sunday. Our guide Niki was really fun and full of interesting facts. The time which I spent was really nice and worth every minute. I am looking forward to next tour on which I'll be attending with another friend of mine this Sunday.;20.06.2015;Bulgaria
742;Christophe Dupre;"Did the tour today with Viki and enjoyed it very much. Not only is the city and its history very interesting, but our guide made it personal with many anecdotes. 

I heartily recommend it.";01.07.2015;Canada
743;Elaine Bohr;Thank you Vicky for the nice tour of Sofia.;18.06.2015;Canada
744;Alaa El Din;I've been to the tour with Nora, which were very informative, funny and enthusiastic. Best thing I've done in Sofia and I would recommend this tour for anyone who visit the lovely City of Sofia.;19.06.2015;
745;Xiaozhou Reinhard Ye;Awesome tour guide Ani:) explain every questions kindly, Active introduction, very good atmospehre!!;01.07.2015;China
746;Michele Leuce;Funny and interesting tour around Sophia!! Especially our lead guide Martin!! Recommended!!;01.07.2015;Italy
747;Brad Joass;Fantastic tour around Sofia. I can see why this is such a popular tour, some very interesting info and is certainly worthwhile. Thank you to Viktoria who was a great guide for such a large group of people! Highly recommend!;15.07.2015;Australia
748;Nils Anlind;Nice tour. Guide(Nora) was funny, informative and did not have too long stories. Perfect!;29.06.2015;Sweden
749;Pierre Lecuyer;We had a great time with Kris and even enjoyed a beer afterwards with the group. What a nice way to discover Sofia !;14.07.2015;France
750;Iuliana Nitu;The tour was great. Fillip is a pro!!! Congrats! :);22.07.2015;Romania
751;Kate Kirk;Nikola is great! He was able to answer all our questions and his delivery of info was really natural.;24.07.2015;Australia
752;Mkrtich Shakhdinarian;For a free tour it is really good! I suggest everybody to join! I was in Sofia only half day but with the help of this tour I know a lot about Sofia;20.07.2015;Georgia
753;CiWro;entertaining and informative and something everyone who doesn't know the city should do, give them your support;27.07.2015;Bulgaria
754;Elikabg;Meeting at the corner of Alabin Street and 2 Vitosha Blvd., Sofia 1000, Bulgaria - dayly time Even though I am an Sofia citizen for lifelong time, I learnt a lot and appreciated the tour.;29.07.2015;Bulgaria
755;ELENA511;A nice way to have a look of the city without walking too much. It is ideal because you will be driven to the most important landmarks:);30.07.2015;Bulgaria
756;serearoundtheworld;This is something to do! Our guide FILIP made the experience great: in a couple of hours he showed us the history of this wonderfull capital city.;30.07.2015;Italy
757;Scouter5280;Nice tour- we had a huge group, but they did a nice job breaking the group up and our guide nadya was really great. Helpful information and a great way to understand the terrain.;01.08.2015;USA
758;Snowdrea;I did not expect much from a free tour, but it was one of the best tours ever! Sofia is a beautiful city rich with history. The tourguide Slavyan was very knowlidgable and engaging. I had a lot of fun and even won a candy :) I definitely recommend this tour and I will for sure go again when my friends visit me in Sofia :);01.08.2015;Czech Republic
759;Bijougirl1441;"Kristina escorted us around the center of Sofia weaving the threads of the city's fascinating past covering millennia and providing insights into the buildings and sights before us. Her enthusiasm and command of the facts made this tour one of the best we have ever joined and I recommend it for anyone interested in learning about this intriguing city.
";01.08.2015;Mexico
760;Antonio F;I took part at the Free Sofia Tour and it was a great and very instructive experience. The guide was very friendly and managed to dive us into the history of Sofia and Bulgaria in only 2 hours. I really recommend it.;01.08.2015;
761;ChloeF92;"I did the tour twice (each time a friend from home comes to visit me in Sofia). 
This is a great initiative, our first guide was Dino, a really funny guy who made us laugh and smile during the whole two hours, the second time, we had the chance to do it with Viktoria (with a really great group of people on top of it) and she adapted to us, realizing our interest she even took time to play a ""role game"" in order to explain the monarchy history of Sofia :) it was GREAT !
Thank you for this initiative !!";01.08.2015;Bulgaria
762;Konvict I;It was a good experience. Thanks to the volunteer for the explanations. Got to know more about the history of Sofia. Liked the new initiative - to-do-list.;01.08.2015;France
763;Alain T;"My family was planning a vacation at a beach resort on the black sea. We were traveling by car from Slovakia to Bulgaria and I decided that we would reduce the continuous car time by stopping over in Sofia.

When we got there, the city looked like... Well, not much. I had read about the free Sofia tour and had planned to take it. It fit perfectly in my plans.

I was not sorry and judging by the attendance, word of mouth attracks a great deal of business to them.

I personally loved it! Anna was our tour guide. Her English was better than mine and she new her city and how to make it interesting to all, including my 11 year old daughter.

The tour lasted a little over 2 hours, mostly because she new how to get the group involved and that generated a great deal of interesting questions.

I strongly recommend it to anyone who is interested in learning about the rich history of Sofia.

Thank you Anna and Free Sofia Tour.";03.08.2015;
764;HAndries;"I did the tour last week (Monday) in the evening. Our guide Alex spoke very good English and led us through Sofia's history and greatest places in a brief and understandable way. 

I liked the fact that this organization works with volunteers that have a normal job or study besides this instead of being all architects and historians, so they can offer a more entertaining point of view rather than going too much into (boring) details.

So, in summary, this tour gives you a good overview of the city, with some nice stories told by the guide. When you do it the first day of your stay in Sofia, it is also a nice starting point after which you can decide to visit some things again, but then more profoundly.";03.08.2015;Belgium
765;Meera_Prashant;"The free Sofia tours are as much about understanding the top few attractions of Sofia as it is about exploring the area slowly and with a local perspective. We did the tour in the end of July, and I totally recommend it. The tour is in excellent English (and on the we did it, the assembled group was so large, that we needed 2 guides). We were from over 5 countries and the guide Christina (I HIGHLY recommend her) did a wonderful smiling job of getting to know us, sheparding us and pointing out little quirky details. She was happy to both answer all kinds of questions and admit her extent of knowledge as required. 

Anyone visiting Sofia, please do this on Day1. It gives you a great idea of what to expect further. 

Since it is free, no complimentary stuff. So, make sure you carry your own bottle of water (esp in summer, even for an Indian!) And do contribute so future travellers can continue to enjoy the tours.";04.08.2015;India
766;Abi S;Just great unique experience, the guides are volunteers and are willing to answer any question. I highly recommend this option;04.08.2015;UK
767;Plazo;We have used the 'Free [City] Tour' brand walking tours in many other cities around the world and always been extremely happy - Sofia lived up to that. These guides work hard, and make the tour both fun and informative. Run by Bulgarians, it offers a great local flavour and provides vignettes about current life in the city and life under socialist rule. We would highly recommend it as a starting point to understand Sofia, both from a cultural, historical and geographical perspective.;05.08.2015;
768;DeniseRS829;We had a great time on the Sophia walking tour! The free tour brings the city to life and helps to acquaint yourself with the walking layout of the town. The guides are very knowledgeable, share great stories and speak very good English. It is a free tour but bring a little something for a tip to keep spreading the love of this tour. Bring a water bottle to fill up along the way or stop half way in the park to grab a snack from one of the venders along the way. It's not an official stop but you can quickly buy something and rejoin the group.;06.08.2015;USA
769;LottiesX1;We went on this tour after already having been in Sofia for a few days. We had seen many of the sights, but had no clue about the history/purpose of them. Luckily, it was extremely informative and our tour guide Niki was fantastic. He put his own spin on the tour and was very funny. I would say this tour is a must if you are visiting the city. It is brilliant that this is free as it easily compares with the many paid tours I have been on in other cities. Although there was a large number in our group, it felt like a personal experience and was very interactive. I loved it!;08.08.2015;
770;J-Luc D;interesting tour of Sofia across time guided by a well-presented suite of stories brought to us by Nadia in good tempo and humor. - recommended !;07.08.2015;
771;deirodeir;Great introduction to Sofia. We did this the 1st morning to get an overview of the city, and then returned to various places at our leisure. Our guide, Kristina, was very knowledgeable, had good English, and made the trip fun for the participants. We were taken to places we would not have located by ourselves when time is rather limited. It may be free, but the guide deserves a nice tip.;09.08.2015;UK
772;willowrf;We just did the 6pm Sofia tour and it is highly recommended! Beautiful sites, interesting history, perfect length, and free!! If that's not enough the tour guides are excellent (ours was Niki and he was great!);10.08.2015;USA
773;corme2;Guided walking tour. We only had a short time in Sofia and this tour offered daily is a fabulous way to get your bearings and discover key places of interest. It's a short tour and was ideal for our family group.;10.08.2015;UK
774;Bas e;In 2.5 hours you get a lot of information about importing buildings, history and normal life in Bulgaria, now and in the times of her parents and grandparents. The story about the basement and the Beatles, and the bag with an orange and a banana with Christmas gives you an idea what it was like living in Bulgaria in the past. Kristina is an enthusiastic storyteller and is happy to give answers to the questions asked.;12.08.2015;
775;mjf1848;This tour really should be the first think you do in Sophia. Great incite in to the historic area of the city and it's layout. Our tour group was large and they split us into 2 groups which was nice because I did not have to stand in the back of a large group straining to list to a guide. Don't forget to tip. These guides were worth it!;12.08.2015;USA
776;Nik2006;Very nice tours! The guys are really willing to show the cultural side of the city. Our guide Alex was very good and spoke english well. I'll be back, keep going!;13.08.2015;Italy
777;Kristjan_Theodor;Great tour, even better tour guide. The city gets much more interesting once you know the history of the buildings and places!;14.08.2015;Iceland
778;TheMooseIsLoose15;Dino was a lot of fun and knew a lot about his city. This was my first free tour so I wasn't sure what to expect. He made sure he talked to everyone personally who showed up early. He told us a lot of interesting facts that I would not have learned on my own. Because of this good experience I will try other free walking tours in other cities. The pace was always comfortable. We saw a lot in 2 hours.;12.08.2015;Turkey
779;fartoomanyusers;"I went the evening I arrived in Sofia ... and it was a great introduction to the city, and it really set me up to explore on my own the next day - with a sense of direction.

Slavyan was a proper performer, and really brought the tour to life. There are clearly some standard jokes that they have, and whilst you wince a bit - he moved on quickly to be entertaining - I smiled and laughed a lot.

Do it as soon as you arrive - two hours that you won't regret.";13.08.2015;UK
780;ShridharSethuram;I have been to most free city tours across Europe and this should rank as one of the tops. Esp with the charming people conducting it. Was on a trip with Alex. Always smiling.passionate and honest, she gives a nice overview of the city & its history. She also provided a deep insight into the intricacies of Bulgarian culture and life, The trip provides a nice snapshot into the rich history and twists and turns of Bulgaria. A must do if you are in Sofia.;13.08.2015;India
781;Jahir D;For being free this tour covers a lot of great information about Sofia and its history. Our guide Dino was enthusiastic and really welcoming. The best part of the tour is getting more information regarding the paid tours they offer and what to expect. We really enjoyed the tour and we made sure to give a generous donation toward the end to show our appreciation for their time and efforts.;13.08.2015;UAE
782;Linda N;Fabulous tour. Saw all the important sites, learned in-depth about the history, and had a lot of fun. The guides were among the best informed I have ever used and kept the tour interesting and engaging. Don't forget to tip, since the tour is free;14.08.2015;USA
783;Evi K;It was an interesting and informative tour that helps you get a general sense of Bulgaria. It made me want to join the rest of the organised tours to gain more insight.;15.08.2015;Greece
784;leahf85;"I loved our tour with Dessi! She was very enthusiastic and very well informed about her city. A must do if you're visiting Sofia!
";14.08.2015;Bahrain
785;lucystravels87;"We joined the Free Sofia tour on our first day in the city and it was a great way to discover what Sofia has to offer. Some useful insights into what Sofia is planning and what they found when they built their underground. Our guide Kris was fun and informative. 
Make sure you wear good footwear - the tour lasts 2 hours.";15.08.2015;UK
786;Marcelo_Vindeirinho;My first walking tour in Sofia was with this guys, and it was amazing. In Autumn, days after I arrived to my new living town. Beeing for free, you could not expect a more warmful, happy and knowledgeful experience in this city. If you come here, one day or more, just please, do this.;15.08.2015;Bulgaria
787;Rachael F;"The free Sofia tour was an amazing introduction to an amazing city. Our tour guide Martin mixed his wealth of knowledge about the history of his home in with many of his own stories which gave the tour a very personal feeling. 

The other tours they offer, especially the cultural and communist tour sounded great too, but unfortunately we weren't in Sofia on those days. 

A few incidents occurred during a trip and Martin handled them very well. He obviously cares a lot about his city, it's people and sharing it with people from around the world.";16.08.2015;
788;James D;Over the course of travelling through Europe we've been on more than a dozen of these free tours, but this was definitely the best. The guide Martin was incredible. He made everything interesting and lively, and the incentive of sweets for correct answers was surprisingly rewarding. A truly fantastic experience that I would recommend to anyone travelling through Sofia.;16.08.2015;
789;Agata P;"Our trip with Viki was my first free walking tour experience, and it couldn't have been better. The girl was very well informed, and she was able to share her knowledge in the way that it was both interesting and informative, as well as funny.
We actually visited few of the locations before the tour, but it was nice to get to know more about the city.
The way she presented it, Viki definitely made us fall in love with her city:)

I recommend the tour for anyone who wants to know the city's history and sights without having to spend hours reading travel books.";16.08.2015;
790;Björn O;"I´ve been to Sofia several times but I learned a lot during this 2,5 hours tour. The good thing is that you can do it again and agin. The guide, Nora, was so enthuiastic and did a fantastic job showing the city and explaining the Bulgarian culture.
";17.08.2015;Sweden
791;Alina280;"I loved the tour. The tour starts at a building at the end of street Vitosha now, a building with two lions. See more here http://www.freesofiatour.com/ We were around 60 people which I find is a lot :) I never thought Sofia is such a common destination choice. Luckly we were split in three groups, each having it's own guide. 

I had Rodina as a guide (she's the NGO's president). 
Firstly, I appreciated she speaks perfect English. It was a really interractive tour. She had games for us, quizez with special prizes :), lots of interesting things about the buildings, Sofia and Bulgaria. 
Secondly, it was great that I got to see so much of Sofia in so little time (around two hours and 15 minutes) and I got a chance to ask her everything that came to my mind about the country. 
Lastly, there are at least three other tours the organization is offering. I remember something about a cultural tour, a food tour and a communist tour. From my understanding they are paid though, the cultural one was 20 leva I think.";17.08.2015;Romania
792;duka845;Nadya (y) was our host for the free tour. She was amazing, funny, professional tour guide. I did not expect much from a free tour but it went beyond my expectactions. I can only recommend it.;17.08.2015;Budapest
793;Maryler;Dino was full of fun and personality which made our two and a half hour walking tour of Sofia most enjoyable. He gave us lots of historical facts mixed with interesting stories of the past. Highly recommended.;17.08.2015;Australia
794;sunnysab;"The free Sofia tour is a wonderful way to get to know the city in a two and a half hour walking tour. Alex, our guide, was well-informed, fun, charming and she made the walk very enjoyable. You learn a lot about the history of the city as well as get a glimpse of the attractions available in Sofia for a later more-detailed or longer visit if interested.
Note that there are two tours per day.
Thank you Alex!";18.08.2015;
795;Bisera K;Really nice and fun guide. I recommend it to anyone who wants in just a 2 hours to see and learn much of the history of Sofia.;20.08.2015;
796;P_Maximus;This is a fantastic way of learning about Sofia and Bulgarian history, getting your bearings in the city and some good local advice. Our tour guide Alex was very knowledgeable and friendly. She brought the stories to life. Tours are in (excellent) English. Run twice a day from outside the justice courts. They are free but tips are welcome and deserved. Don't be afraid to ask questions including anything you want to ask a local that isn't part of the tour (where to eat, etc.) as staff are very helpful.;20.08.2015;UK
797;Holly R;Went on this walking tour yesterday evening. Nikola was great and really tried to interact with the group even though we were all a bit quiet. I really enjoyed the tour and he had a very good knowledge of the city of Sofia. Sometimes you can have boring guides but he told some great stories to keep us interested. Definitely recommend this tour!;20.08.2015;
798;Samuel B;This tour gives you an excellent introduction to Sofia. The guides are eloquent, skilled and knowledgeable. They transmit love to their city together with a certain distance that allows them to laugh about themselves. We also took the cultural tour, which is as well interesting and a good way to experience a synthesis of Bulgaria in 2 hours.;20.08.2015;Israel
799;KathrinSinger;We joined today the Free Sofia tour. It was such a good experience. Our guide Dino was great in presenting the amazing history of the city in a charming way, full of anecdotes, luckily hardly any years and dates and all in a very good English. The tour was so inspiring that we joined another tour just some hours later. This time not about sights and history but about culture and food. In short. Sofia is definitely a place worth visiting.;21.08.2015;UK
800;Valentina B;I had very good time walking around Sofia with my tour guide Dino, he was prepared, friendly and also funny. The 365 association is very professional in the organisation of tours even if it is a free tour:first of all we were very much but there were 2 tour guides so we could be splitted in groups, they have their own map and they don't need a reservation, they have this tour twice a day every single day of the year. I highly recommend it;21.08.2015;
801;onur7071;Way better than expected! Our tour guide Daniel was very knowledgeable. Feel free to follow their advices for the rest of our stay in Sofia;22.08.2015;Turkey
802;Yordanka G;Our guide Viki was knowledgeable and funny and the two hours tour was interesting from the beginning to the end. One can learn a lot about Sofia and then continue exploring the city on his/her own. The guides can give you tips about many interesting places to visit. There is no fixed fee for the tour. If you are happy with it, give the guide a few leva (the Bulgarian currency). If not - you are not obliged to pay. I can warmly recommend this tour!;23.08.2015;Sweden
803;Lauren T;"If you are an English speaker wanting to get the most out of visiting Sofia and learning about its history, this is for you. The tour guides are really nice and friendly and tell good stories about the sites. Everything is carefully mapped out so you'll do less walking to see the historical sites. I even learned facts about the buildings that my Bulgarian friend who grew up in Sofia didn't even know.
";24.08.2015;
804;Greta L;"
We did this walking tour on the last day of our travels and we were not disappointed. Despite the heavy rain, Anna's tour was both informative and entertaining and I would definitely recommend it for an overview of both the city and the history of Bulgaria.";25.08.2015;
805;sumacaman;A fantastic insight into the history and culture of Sofia. Not a dull moment. Recommend if you have a day in Sofia take this tour and get to know the city.;25.08.2015;UK
806;BoyInOman;Great way to see all the sights. Dino was great. 2 hours which just the right amount of time. Be sure to tip. Although it's free, the guides still need to make a living.;26.08.2015;Oman
807;floresnando;Very interesting and informative. Our guide nikki was very excited and helpfull. Gave lots of extra information indicate extra activites. Nikki was really clear and polite all times! Make sure u leave him a good tip, its worth!!;26.08.2015;UAE
808;bammybam;Take this tour as soon as you are able upon arriving into Sofia. It will give you a great understanding of the cities layout for when you're exploring on your own. It is also a great way to get a good snapshot of Bulgaria's history and Sofia's role in it. The tour is free but you will be happy to tip (and should anyway).;26.08.2015;
809;GenerousBklyn;Our guide was enthusiastic and funny. DONT FORGET TO TIP AT THE END. But you will *want* to. A few personal anecdotes gave a feel of it being a live city with real people not just a historical site. Nice efforts to get the guests involved. My excitement about it convinced my local friends to go too! The guide gives a small map with recommended places near the end. We tried restaurant #7 and it was amazing *and* a bargain. I also learned facts that more local friends didn't know. The only way to begin your visit. Highly recommended.;26.08.2015;USA
810;Tarek S;I joined the free walking tour as i do in every city i visit and in fact it was one of my best free tours ever the tour leader Martin told us too much about the Bulgarian history and many stories until our time now + he has a very high sense of humor which we all enjoyed listening while smiling and laughing during the tour. .thanks Martin ..;27.08.2015;
811;Давиде И;is a very nice tour of the center of sofia, is totally free and they do this daily starting from the palace of justice, they are really very nice, if you come in sofia you should totally do it!;28.08.2015;
812;Lyuben D;Awesome tour. Anna was amazing tour guide. It was funny, interactive and educational. A must do to get to know Sofia better.;28.08.2015;Bulgaria
813;eelSeattle;I had never heard of any FREE City Tours before the one in Sofia. Having read about it in an online travel guide for Sofia, I decided to just show up as suggested and give it a try. I could not have been more happily surprised and impressed. During the several hours of walking the central core of the city, we passed by and often stopped at many of the historic churches, buildings, attractions and open spaces. Our young guide was both informative and entertaining. The Free Sofia Tour was an excellent starting point for me to then decide which attractions warranted a return visit for the photo ops, as well as entry. It was very easy to hand my guide a nice tip.;28.08.2015;USA
814;orifb;The tour is a must to briefly get situated in Sofia, Bulgaria and his history. Ivan, our guide, gave us very interesting explanations. We had good time while learning.;29.08.2015;
815;Xavi E;You.want to.learn why the churches are in here, why are they didrerent , why Sofia it's called like this, and understand a piece of history as well as have a nice time, then join the free tour. C'mon its free, although you can five a tip at the end, but you'll worthy enjoy the sightseeing with a deep understanding;30.08.2015;
816;LB_1957;"we discovered this tour from our Host Ludmil of Casa Ferrari B&B: we really recommend it. In a couple of hours (you can choose 11am or 6pm) you get the main information about the 95% of the touristic attractions: if you like to visit them, you can come back later on your own
";31.08.2015;Italy
817;ZeroNull;Very nice tour! Visiting all important buildings and getting a lot of background information! Audience is included with questions and for correct answers you get candies!:);30.08.2015;Austria
818;AlexandraTrs;Kristina was our guide - she was fabulous and she transmitted us he enthusiasm about the city. It is a great introduction to the history and churches of Sofia.;31.08.2015;Poland
819;Jared P;Wow- Martin really brought the city to life with his enthusiasm and knowledge about the city's history. I think this is one of the best walking tours I've been on. Can't rate him highly enough.;01.09.2015;
820;Lydia N;While on a visit to Bulgaria, I took the tour and loved it! The guides were very friendly energetic and knowledgable about their City and country. I learnt a lot from this 2 hour tour and recommend to all who visit Sofia. You will visit significant buildings in the heart of the City (both old and new) and learn interesting facts about the history of Bulgaria. Best part is its FREE and you can participate alone or in a group.;01.09.2015;
821;mheinst;Great way to see Sofia done by local students. Normally free sounds like a trick but it's not, it's really worth it. You will see all the highlights of Sofia in a few hours;01.09.2015;Bulgaria
822;Rebecca M;"I had a great tour with Anna, she was smart and kept the history really interesting. It's a great way to just go and get a basic understanding of the stories and histories behind this incredible building. It went by really fast. Gratuity at the end is optional, but my friends and I were all happy to give some money.
";01.09.2015;
823;Moritz i;Viktoria was a very nice guide and had a good sense of humor. Perfect if you want to know some basic facts about the city. Thank you;02.09.2015;Germany
824;Isabell_Muc;Our guide was Kristina. She did a fantastic job. We liked her enthusiastic style a lot. Thank you very much for the tour!;02.09.2015;Germany
825;Marviston;Pretty, pretty good tour. Martin was our leader— an incredibly passionate young historian and tour guide. Clearly he does it purely for the love of it. A very enjoyable tour.;02.09.2015;Australia
826;Nicolas G;The tour is simply amazing. Our guide, Anna, was very well-prepared and spoke perfect English. Highly recommended.;03.09.2015;Germany
827;Matt J;Victoria was enthusiastic and very knowledgable information about the city. Also have out the best map we've had at the end.;03.09.2015;
828;David P;Following the advice of a friend we did the tour during August, I was at the meeting point for the tour at 11. By chance my guide was Slavian and the visit was great. He explained the history of Sofia taking profit of the different location in a really and funny way. It's a shame that was my last day in Sofia because I would like to do many other tours organized by them: culture, Communism,.. . I will try to do it if I ever come back.;05.09.2015;Spain
829;Raghava R;take free walking tour two per day starts at 11am or 6 pm (check before u go)at the steps of culture of justice building few steps off Sardica metro station.lasts 2 hrs covers all important buildings exterior with brief history ext day go the same route go inside and even museums in it .without hurry u cover it in 4 hours.having covered Sofia all it remains boys a church and vagus ha mountain by taxi .cost u about25 us dollors with 2 nights u covered one of the most important historical and modern cities of Europe. By the way on the way to bayona church and vagus ha mountain u see beautiful modern buildings;04.09.2015;USA
830;BalazsFuredi;Quite good tour. It goes throw the most important parts of the city, except for the pub area. Interesting and funny stories about history, culture and the city. Maybe a little bit too many churches, but that's usual.;05.09.2015;Hungary
831;Addie100;I highly recommend this 2 hour walking tour as a wonderful way to learn so much about Sofia. Dino did a fantastic job of informing the large group and he was witty and personal as well. He really knows the history of the city. If you only have a short time in Sofia, this is a great way to get to know the city. It is free but please tip/donate as this is how the tour guides get paid.;11.09.2015;Canada
832;Roland D;The free Sofia tour is a must-do for first time visitors to Sofia. Excellently run by passionate guides who really know their stuff. Our guide Dino was lots of fun and made the experience really worthwhile with plenty of great information about all the city highlights. Take the tour - you'll love it.;12.09.2015;Australia
833;Pascal P;Simply the best city tour I have ever experienced! Kristina was so enthusiastic about all the things there were to see and talk about that you simply had to keep listening. Especially the way she explained the royal history of Bulgaria was simply great! Highly recommended for every Sofia visitor!;12.09.2015;
834;Benjamin S;Great tour and incredible performance by Slavyan. I totally can recommend this tour and it is even for free. You will be satisfied, all main attractions of Sofia are covered.;13.09.2015;
835;liliatodorova;I have been living in Sofia for the last 11 years but just recently I decided to do the tour. Learned a lot of interesting things and had a lot of fun :);14.09.2015;Bulgaria
836;guss44;Here in Sofia working for two weeks and was looking for something to do last Saturday. I found a leaflet on the 365 Association free tour of the city. It was a very well run tour with a lot of information about not only Sofia but Bulgaria in general. Great to see the old wall and Roman remains of the old city. Thank you Christina for a very well presented tour. she made it interesting and with a little humor as well. So good in fact I can still remember most of the facts!!!! This is a free tour but you can donate a contribution at the end if you wish, this is just to keep the tour going as these are all volunteers. Thank you and well done to this lovely city.;14.09.2015;UK
837;clemc;"Take this tour first and then explore the old town center. The tour took us all around the old town area and our tour guide Dino was funny and full of information. I do recommend asking the tour guide to draw on your map the route he lead so you could go back and revisit and spend more time in the places that interested you. The tour is free but by no mean it is low on quality. I would pay to take this tour.
";15.09.2015;USA
838;EBuckley1;"We took the Free Sofia tour on Sunday 13th when the Free Sofia Tour guides were planting trees to celebrate 5 years of giving free tours and promoting intercultural exchange and understanding. After the ceremony we took the tour with Martin who was excellent. An historian he guided us through the city explaining each of the significant buildings in a fun and interactive way. He also added in some personal anecdotes which made the tour more interesting and funny. At all times the tour was interesting and informative - it was not a ""boring history tour"". I cannot recommend this tour highly enough, you should definitely go and experience Sofia with these guys. Additionally, it's very well run and professional.";16.09.2015;Ireland
839;MetalPetal;A great way of seeing Sofia. Good english speaking guides. Very professional and answered all the questions we asked.;16.09.2015;UK
